"animal","log_SLA","se_log_SLA","N","se_N","d13C","se_d13C"
"Eucalyptus_abdita",1.16238724617766,0.0119364827633229,11,1.95528,-29.32,1.045
"Eucalyptus_absita",1.46751839859468,0.0153453718544002,19.7,1.95528,-27.28,1.045
"Eucalyptus_accedens",0.976101849050106,0.0171393281704641,9.078333333,0.93243558014005,-27.81,1.045
"Eucalyptus_acies",1.15677871103746,0.159381831354434,8.8,1.95528,-26.54,1.045
"Eucalyptus_acmenoides",1.81528306984702,0.129272056902997,9.90465,1.95528,-26.46,1.045
"Eucalyptus_aequioperta",1.05408900838843,0.176618578038603,12.8,1.95528,-26.62,1.045
"Eucalyptus_aggregata",1.69621966454529,0.0929314221481652,14.3,1.95528,-27.76,1.045
"Eucalyptus_albopurpurea",1.29656776689833,0.045901338024145,13.1,1.95528,-25.72,1.045
"Eucalyptus_alipes",0.93666966366323,0.198623649535697,11.2,1.95528,-25.85,1.045
"Eucalyptus_amygdalina",1.59045722386172,0.0262572314113683,10.2042,1.95528,-27.268,1.045
"Eucalyptus_ancophila",1.83148205401885,0.0124983819600971,10.5,1.95528,-28.35,1.045
"Eucalyptus_angulosa",0.842036489761966,0.0116996601682718,8.4,0.0999999999999996,-27.795,0.0349999999999984
"Eucalyptus_angustissima",0.410942770286464,0.336009260012831,12,1.95528,-26.68,1.045
"Eucalyptus_annulata",1.21715856216956,0.150043151180472,10.2,1.95528,-27.61,1.045
"Eucalyptus_aquilina",1.44445673974905,0.0542131517974215,11,1.95528,-27.67,1.045
"Eucalyptus_arachnae",1.08027616880406,0.172053473446591,11.5,1.95528,-28.58,1.045
"Eucalyptus_arborella",1.31783730400521,0.135672539620933,10.5,1.95528,-28.11,1.045
"Eucalyptus_arenacea",1.35968375475485,0.0239988046241345,8.2,1.95528,-26.84,1.045
"Eucalyptus_argophloia",1.71933986390366,0.0908074767726413,11.7,1.95528,-29.47,1.045
"Eucalyptus_argutifolia",1.2134975303648,0.0864517123842313,9.8,1.95528,-28.02,1.045
"Eucalyptus_aspratilis",0.947041880851799,0.0725240082538513,10.05,0.649999999999999,-27.245,0.725
"Eucalyptus_assimilans",0.764326742030085,0.235981815101438,10.2,1.95528,-27.67,1.045
"Eucalyptus_atrata",1.51589969563563,0.0493685360083707,10.09098355,0.236930318897455,-29.45,1.045
"Eucalyptus_badjensis",1.53471436623816,0.0797413793103448,14.975,1.805,-30.215,0.0350000000000001
"Eucalyptus_baeuerlenii",1.54126871577674,0.108506792385802,13.7,1.95528,-27.28,1.045
"Eucalyptus_bakeri",1.39391897101513,0.0408288004041954,11.5,1.95528,-29.07,1.045
"Eucalyptus_barberi",1.38440847445298,0.0150834024263494,15.7,1.95528,-27.24,1.045
"Eucalyptus_baxteri",1.39249252376222,0.0230040440318629,9.605604524,0.482053313108103,-28.635,0.244999999999999
"Eucalyptus_beaniana",1.3363675027333,0.133181650112571,9.4,1.95528,-28.78,1.045
"Eucalyptus_behriana",1.13196679622021,0.0233186019395605,11.93333333,0.966666666666667,-29.13,1.045
"Eucalyptus_benthamii",1.85238409104449,0.173333333333333,15.765,3.335,-31.205,0.135
"Eucalyptus_blakelyi",1.64593416704144,0.0243599749242239,16.42325581,0.393170338189058,-26.76,1.045
"Eucalyptus_blaxellii",1.35077631897202,0.13127641921329,11.9,1.95528,-27.46,1.045
"Eucalyptus_bosistoana",1.50342708803804,0.0922397781597816,12.265,2.595,-30.43,0.0800000000000001
"Eucalyptus_botryoides",1.87296677265048,0.0665143801985408,14.22,1.85,-30.105,0.815000000000001
"Eucalyptus_brachycalyx",1.11617021353648,0.0211264180184423,8.6,1.95528,-26.87,1.045
"Eucalyptus_brassiana",1.68094006722144,0.00984208752269989,12.5,1.95528,-29.32,1.045
"Eucalyptus_brevifolia",1.19932217439132,0.0442230514090265,8.755125,0.550856328089665,-26.97875,0.294996595016669
"Eucalyptus_brevipes",0.916134143214791,0.202744658261048,10.6,1.95528,-25.92,1.045
"Eucalyptus_bridgesiana",1.96348940045973,0.088667821370179,19.5072025,2.20827559701337,-25.8175,1.02728099855882
"Eucalyptus_brockwayi",1.14057695712776,0.0159234409819803,9.3,1.95528,-26.42,1.045
"Eucalyptus_buprestium",1.43269577735852,0.120951025057693,10.9,1.95528,-25.66,1.045
"Eucalyptus_burgessiana",0.996669065557442,0.187056820543521,8.3,1.95528,-25.82,1.045
"Eucalyptus_burracoppinensis",0.833841345237361,0.114819667481753,13.5,1.95528,-25.8,1.045
"Eucalyptus_calcareana",2.56501766974358,0.0296859389314456,10,1.95528,-27.47,1.045
"Eucalyptus_calycogona_calycogona",0.87865532146419,0.0421780019600625,11,0.251661147842358,-25.75,0.493592274385787
"Eucalyptus_capillosa",1.18324327070879,0.0182957229660856,12.57227673,0.755797732946351,-25.75168355,0.867771433931167
"Eucalyptus_capitellata",1.42097670030999,0.07511427360747,10.8446,1.9554,-28.4295,0.4895
"Eucalyptus_captiosa",0.859149865080256,0.214633436030176,9.1,1.95528,-26.26,1.045
"Eucalyptus_carnei",0.898433402618251,0.125657152837672,8.55,0.75,-25.205,1.045
"Eucalyptus_celastroides_celastroides",0.984859136487788,0.0156274529951609,10.2575,0.1495,-26.62,1.27
"Eucalyptus_cephalocarpa",2.04128587878912,0.0658115668346329,14.8,1.95528,-28.88,1.045
"Eucalyptus_cerasiformis",1.04784025383978,0.177725679581992,9.9,1.95528,-25.53,1.045
"Eucalyptus_ceratocorys",0.636447215910223,0.268173530683443,7.3,1.95528,-26.9,1.045
"Eucalyptus_cernua",1.11636698443558,0.165954641160394,9.2,1.95528,-26.79,1.045
"Eucalyptus_clivicola",1.02874431117328,0.026729614584513,7,1.95528,-27.79,1.045
"Eucalyptus_cneorifolia",1.04679213446166,0.177912054965515,13.7,1.95528,-27.3,1.045
"Eucalyptus_concinna",0.917204483475976,0.0272025319522208,10.76425,0.219286446989624,-26.28875,0.222985191959765
"Eucalyptus_conica",1.93617894798717,0.0136944447769138,18.8,1.95528,-27.38,1.045
"Eucalyptus_consideniana",1.5738027965211,0.019739259314833,10.9,1.95528,-28.18,1.045
"Eucalyptus_coolabah",1.46589996112194,0.0621501875263218,11.00847427,0.424500596712865,-28.54714286,0.3372558325643
"Eucalyptus_cooperiana",0.816172449889791,0.224058916988787,7.2,1.95528,-27.66,1.045
"Eucalyptus_cornuta",1.5762380618879,0.104777958231123,15.5,1.95528,-25.72,1.045
"Eucalyptus_corrugata",0.95266430268461,0.0221566185250982,11.45733333,0.644666925198156,-26.45333333,0.531831218004776
"Eucalyptus_corticosa",2.16353507421114,0.0582384864396633,14.6,1.95528,-28.33,1.045
"Eucalyptus_cosmophylla",1.14926756766712,0.01004689067014,11.07865613,1.178656125,-28.215,1.595
"Eucalyptus_crebra",2.39890926399004,0.0521479539698555,12.11149525,0.234945192170952,-28.06033333,2.19384976189751
"Eucalyptus_creta",0.648072002501506,0.265074120514031,6.6,1.95528,-26.72,1.045
"Eucalyptus_cretata",0.979650945204664,0.133149294609477,10,1.95528,-28,1.045
"Eucalyptus_cyanophylla",0.703195355141111,0.0315384202339893,7.9,1.95528,-26.01,1.045
"Eucalyptus_cyclostoma",0.917545769185253,0.202458660544468,10.3,1.95528,-26.72,1.045
"Eucalyptus_cylindriflora",0.886141110277223,0.208917696792246,12,1.95528,-25.28,1.045
"Eucalyptus_cylindrocarpa",0.92696311287745,0.200560987300029,9.8,1.95528,-26.98,1.045
"Eucalyptus_cypellocarpa",1.47932922708708,0.168564920273349,11.605,1.955,-28.705,0.635
"Eucalyptus_dawsonii",1.59900953179734,0.102418970848059,15.5,1.95528,-28.5,1.045
"Eucalyptus_dealbata",1.64893802520552,0.0785683684085638,16.1,1.95528,-26.9,1.045
"Eucalyptus_deanei",1.81371784475781,0.0927478341615344,16.9,1.95528,-28.65,1.045
"Eucalyptus_deflexa",0.943118699263507,0.19734684006885,9.5,1.95528,-27.79,1.045
"Eucalyptus_delicata",1.23994378444674,0.104698159660245,10.4,1.95528,-25.45,1.045
"Eucalyptus_depauperata",1.1295420516842,0.163782517957626,12.2,1.95528,-27.76,1.045
"Eucalyptus_desmondensis",1.18204788842963,0.109810215204262,11.2,1.95528,-25.99,1.045
"Eucalyptus_dielsii",0.986077882078234,0.189048502165947,6.1,1.95528,-27.99,1.045
"Eucalyptus_diminuta",1.34639267735875,0.131853151156914,12,1.95528,-28.09,1.045
"Eucalyptus_diptera",1.20267385045052,0.152232299285618,9.8,1.95528,-28.12,1.045
"Eucalyptus_discreta",0.850877571284323,0.216416310937006,9,1.95528,-27.41,1.045
"Eucalyptus_dissimulata",1.05155675665404,0.177066387482997,11.5,1.95528,-28.23,1.045
"Eucalyptus_diversicolor",1.72280927754459,0.101881542699942,12.38571429,0.51150039399909,-27.61857143,0.489175343825507
"Eucalyptus_dolichocera",0.985747313004503,0.18911100608456,10.3,1.95528,-27.51,1.045
"Eucalyptus_dolichorhyncha",0.693991979117136,0.253177167464865,6,1.95528,-28,1.045
"Eucalyptus_dorotoxylon",1.69827262613459,0.0927408332108784,13.5,1.95528,-27.06,1.045
"Eucalyptus_dumosa",0.978775994894249,0.0147083913176353,9.196210526,0.325093702901731,-25.91486667,0.641407268780487
"Eucalyptus_dundasii",1.37253494933273,0.0851338313506725,8.9,1.95528,-27.23,1.045
"Eucalyptus_dunnii",1.86872119925283,0.0423407749425081,16.34,4.07,-29.85,0.479999999999999
"Eucalyptus_dura",1.58122762783379,0.0318413798112536,10.39290718,0.221558452807578,-31.88,1.045
"Eucalyptus_dwyeri",1.36085096909641,0.0167007664612335,11.8,1.95528,-27.33,1.045
"Eucalyptus_elata",2.18844072568491,0.199311196697288,14.21360967,1.71836552491383,-28.66666667,1.45618603817568
"Eucalyptus_eremophila",0.850433498417575,0.216512436890499,13.7,1.95528,-25.65,1.045
"Eucalyptus_eugenioides",2.14062344465686,0.0574919623768058,15.3,1.95528,-29.37,1.045
"Eucalyptus_ewartiana",1.02110388307539,0.0406190014516747,11.15042392,0.381209683509282,-26.91570041,0.347040513591102
"Eucalyptus_exigua",1.03853118557694,0.0470128986118324,11.15,0.95,-26.745,1.155
"Eucalyptus_exilipes",1.6994989179427,0.0167185323783827,9.832881129,0.222476726018148,-30.19,1.045
"Eucalyptus_exilis",1.29579440529086,0.138696360118732,11.1,1.95528,-26.71,1.045
"Eucalyptus_falcata",1.05858380041902,0.0121997641094107,8.15,0.0499999999999998,-27.125,0.504999999999999
"Eucalyptus_famelica",0.971837593305245,0.191759866918709,9.2,1.95528,-28.79,1.045
"Eucalyptus_fasciculosa",1.42774507299596,0.0161622561832173,13.84111205,1.84476266761579,-28.75333333,0.277208305150558
"Eucalyptus_fastigata",1.75577014778041,0.0833272612779813,13.94,2.8101660686396,-29.53,0.0999999999999996
"Eucalyptus_flindersii",1.28734173656064,0.0684080061851978,13.76860352,1.95528,-24.88,1.045
"Eucalyptus_flocktoniae_flocktoniae",0.841347725822804,0.0370335919017691,9.581818182,0.288827781910442,-25.82181818,0.30654324381819
"Eucalyptus_foecunda",1.19307243396211,0.0892252289643783,10.75,0.85,-28.38,1.045
"Eucalyptus_foliosa",0.848115815484991,0.217014826034656,9.2,1.95528,-27.04,1.045
"Eucalyptus_formanii",1.17807608819127,0.0470127402160669,13.2075,0.790945246735407,-26.20333333,0.566348930528796
"Eucalyptus_forrestiana",0.88497843318792,0.209160741875952,8,1.95528,-27.36,1.045
"Eucalyptus_fraxinoides",1.32870096983803,0.0909526267718172,11.41333333,1.61746028630621,-28.09333333,0.388344062798842
"Eucalyptus_froggattii",0.911232743791815,0.01402946906916,7.5,1.95528,-27.14,1.045
"Eucalyptus_fruticosa",1.33081089811923,0.133923747746256,13.8,1.95528,-28.33,1.045
"Eucalyptus_fulgens",1.70624947278421,0.0920039965298802,13.3,1.95528,-29.26,1.045
"Eucalyptus_fusiformis",1.96698415855882,0.0413964398182432,12.6,1.95528,-29.08,1.045
"Eucalyptus_gillenii",1.53073056665121,0.0798088303922685,12,3.7,-28.025,0.575000000000001
"Eucalyptus_gillii",0.684201368838455,0.255668100422331,10.8,1.95528,-27.68,1.045
"Eucalyptus_globoidea",2.33290025378453,0.163692016209672,8.513333333,0.827553287978753,-26.92,1.045
"Eucalyptus_globulus_globulus",1.6534513880843,0.112336960595001,11.7,1.08,-28.92,0.220000000000001
"Eucalyptus_glomerosa",1.39139977453948,0.0664780392237502,14.6,1.95528,-25.51,1.045
"Eucalyptus_gomphocephala",1.41206631223433,0.0485461704382413,13.08888889,0.436668080291746,-27.13444444,0.198998262911954
"Eucalyptus_goniocalyx_goniocalyx",1.2620587159901,0.0189991680824596,11.50770609,1.95528,-29.29,1.045
"Eucalyptus_goniocarpa",0.9504694176513,0.195901517609898,8.8,1.95528,-27.21,1.045
"Eucalyptus_gracilis",1.05386719426152,0.0417109006000622,11.66666667,0.993870101058372,-28.73,1.045
"Eucalyptus_grandis",1.92453257357051,0.0539547300192707,16.25833333,1.16692306706331,-29.2425,0.706545292249548
"Eucalyptus_granitica",1.51404310154867,0.0253375073742425,11.08483159,0.148148874781569,-28.94,1.045
"Eucalyptus_griffithsii",1.0913941252939,0.17015118479109,12.9,1.95528,-26.51,1.045
"Eucalyptus_grisea",1.8368320072953,0.0807412407178451,12.6,1.95528,-30.08,1.045
"Eucalyptus_grossa",0.744205634024525,0.240778122380924,8.8,1.95528,-26.15,1.045
"Eucalyptus_gypsophila",0.964936266918633,0.0435961229281701,9.4,0.986576572463249,-27.39333333,0.620922253139992
"Eucalyptus_haemastoma",1.38574364275236,0.0358425997831332,9.2423324,0.291593731585306,-29.13684,0.913481179663818
"Eucalyptus_hallii",1.29583666529879,0.0352100380007808,8.9,1.95528,-29.66,1.045
"Eucalyptus_halophila",0.966176683258946,0.192848480640872,9.6,1.95528,-27.58,1.045
"Eucalyptus_hebetifolia",1.43244035803441,0.127178651353864,9.1,1.95528,-26.43,1.045
"Eucalyptus_histophylla",0.846781760087495,0.0756001827102725,9.25,1.25,-25.62,0.439999999999999
"Eucalyptus_horistes",1.22579222945863,0.0139654920136391,11.40466667,0.820897137960117,-26.56333333,0.852571274309531
"Eucalyptus_hypolaena",0.579800679974251,0.283803134512171,9.8,1.95528,-27.21,1.045
"Eucalyptus_impensa",0.589086733335698,0.281179921956941,5.7,1.95528,-28.14,1.045
"Eucalyptus_incerata",0.741491795963456,0.0142609029886358,10.05,0.0499999999999998,-24.94,0.25
"Eucalyptus_incrassata",0.893084247118572,0.0164198616529585,8.466666667,0.56489920438173,-28.02,0.44410959608337
"Eucalyptus_indurata",1.14051387813597,0.0979950878328027,8.3,1.95528,-24.57,1.045
"Eucalyptus_infera",1.44486660483675,0.119487872945598,14.5,1.95528,-28.22,1.045
"Eucalyptus_insularis",1.76132631535584,0.0583804596150237,13.4,1.95528,-28.33,1.045
"Eucalyptus_interstans",1.61167563945441,0.0711728666239536,12.3,2.2,-28.62,0.140000000000001
"Eucalyptus_intertexta",1.46097057597172,0.0381019803126785,13.49739947,0.809117315048999,-26.80562196,0.328191954641981
"Eucalyptus_jacksonii",1.69793035876553,0.00884555607829926,11.6,0.0999999999999996,-28.485,0.625
"Eucalyptus_kitsoniana",1.75730260080636,0.0226405564001329,19.6,1.95528,-27.3,1.045
"Eucalyptus_kondininensis",1.21237090921828,0.104775086225055,10.6,1.95528,-29.02,1.045
"Eucalyptus_kruseana",1.24311865438858,0.146198141477595,10.5,1.95528,-26.77,1.045
"Eucalyptus_kumarlensis",1.03339991494287,0.180310718122204,9.3,1.95528,-28.45,1.045
"Eucalyptus_lacrimans",0.932788507295623,0.199396036886329,18.3,1.95528,-27.34,1.045
"Eucalyptus_langleyi",0.915747517559971,0.202823059702337,12.9,1.95528,-25.73,1.045
"Eucalyptus_lansdowneana",1.09608966452565,0.0184348577294112,11.8,1.95528,-27.7,1.045
"Eucalyptus_largiflorens",1.30321590649667,0.0301923562048402,10.65,1.35,-28.84,1.045
"Eucalyptus_latens",0.880246195853775,0.0590327098237787,8.6,0.3,-26.69666667,0.186577359588754
"Eucalyptus_leptophylla",1.17766691511936,0.0172786735868959,13.2,1.95528,-27.31,1.045
